;cpu;ram;disco;temp
min;610.9;1.5;3.2;41.0
max;1895.4;1.6;3.2;49.0
mean;892.73;1.6;3.2;41.78
var;28319.87;0.0;0.0;1.95
std;168.29;0.01;0.0;1.4
mad;100.91;0.0;0.0;1.04
min;621.9;1.6;3.2;41.0
max;1346.0;1.6;3.2;46.0
mean;881.18;1.6;3.2;41.68
var;13188.3;0.0;0.0;1.58
std;114.84;0.0;0.0;1.26
mad;88.04;0.0;0.0;0.97
min;597.7;1.5;3.2;41.0
max;1696.9;1.6;3.2;48.0
mean;877.87;1.6;3.2;41.58
var;15479.0;0.0;0.0;1.28
std;124.41;0.01;0.0;1.13
mad;85.24;0.0;0.0;0.83
min;693.4;1.5;3.2;41.0
max;1738.0;1.6;3.2;49.0
mean;895.2;1.6;3.2;41.74
var;19514.74;0.0;0.0;1.96
std;139.7;0.02;0.0;1.4
mad;87.65;0.0;0.0;1.04
