temp1,temp2,temp3,temp4
42,39,41,41
42,41,41,41
41,39,41,39
40,39,40,41
40,40,40,40
40,39,40,40
40,40,39,39
40,39,41,39
40,39,40,38
40,39,40,38
39,40,40,39
39,40,40,38
40,39,39,38
40,38,39,38
39,39,39,38
38,39,39,38
38,39,39,38
39,39,39,38
42,42,42,42
39,39,39,38
43,40,40,41
39,39,39,38
40,40,42,41
38,39,39,38
38,39,40,38
39,39,39,37
39,39,39,38
39,39,39,37
37,38,39,37
38,39,39,37
39,38,38,38
39,38,39,37
39,38,38,38
38,38,37,37
38,38,38,36
39,39,39,37
39,38,39,36
38,38,38,37
38,38,37,37
38,38,37,36
37,38,37,36
38,38,38,37
38,37,38,37
38,37,39,36
39,38,38,37
38,38,39,36
38,37,38,37
38,37,38,35
38,37,37,36
38,38,38,35
37,37,37,35
37,37,37,36
37,37,38,36
38,36,37,36
38,38,36,36
38,37,38,37
37,38,37,35
37,36,37,36
38,37,37,35
37,37,38,35
38,37,37,34
37,36,38,35
37,36,37,36
37,36,37,36
37,37,37,36
37,36,37,36
37,37,37,35
37,37,37,36
37,36,37,35
37,36,37,35
37,36,37,35
37,36,37,35
37,37,37,36
36,36,36,35
37,36,37,35
37,36,37,35
37,36,37,35
37,35,36,35
36,36,36,34
36,37,37,34
37,36,36,34
38,35,36,35
37,37,37,34
37,36,35,34
37,37,35,36
36,36,35,35
37,37,36,36
36,36,36,35
37,36,36,35
36,36,36,35
37,36,36,36
37,35,36,35
37,35,36,36
37,37,36,34
37,38,38,38
37,37,36,36
37,37,36,35
37,37,36,34
37,37,35,35
37,37,36,36
37,37,35,36
36,36,36,36
37,37,36,34
36,37,36,35
36,36,36,34
36,35,36,35
36,36,36,34
37,37,36,36
37,36,35,35
35,37,37,36
36,37,36,36
36,36,37,34
38,36,36,35
37,36,36,36
37,37,35,35
37,37,36,34
37,37,36,36
37,36,36,34
36,37,36,35
37,37,35,35
37,37,36,35
37,37,37,35
37,36,35,35
37,36,36,34
35,36,36,34
36,36,36,34
35,37,36,36
37,37,35,35
37,37,36,35
37,37,35,35
35,36,36,35
36,37,36,34
36,35,35,34
36,36,36,33
35,35,35,35
35,37,36,34
36,35,36,35
35,36,36,34
36,36,36,37
35,35,36,33
35,36,36,35
35,35,35,35
36,36,35,34
35,36,36,34
35,35,35,35
36,35,36,35
35,35,35,34
35,35,36,35
37,36,35,34
36,36,36,34
36,35,36,34
35,35,35,35
35,35,36,35
36,35,35,34
36,35,36,34
36,35,36,35
37,35,35,34
37,35,35,36
37,35,36,34
36,36,36,34
37,35,36,36
36,34,35,35
37,35,36,35
35,35,35,34
36,35,35,34
35,35,35,34
36,35,35,34
36,35,35,34
35,35,35,34
36,35,35,36
34,35,36,34
35,35,36,35
36,37,36,35
36,37,36,35
35,35,35,34
37,38,37,36
39,40,40,38
38,38,37,37
37,37,37,35
37,36,37,36
37,37,37,36
37,37,37,35
37,36,37,35
36,36,36,35
37,37,35,34
37,36,35,35
37,35,36,35
38,40,39,37
37,36,35,35
35,36,35,35
35,37,36,35
37,35,36,35
36,36,36,36
36,36,36,35
38,37,37,38
37,37,36,35
47,49,43,45
39,38,39,37
41,39,40,38
42,42,40,41
39,39,39,38
39,39,39,38
40,41,41,39
40,39,39,38
40,39,39,38
41,42,41,38
39,38,39,37
41,42,41,41
40,40,40,39
40,40,41,39
40,40,40,39
39,39,39,38
39,40,39,38
41,41,40,38
40,39,40,38
39,39,38,37
40,40,42,42
40,39,40,38
42,42,40,43
40,39,40,41
39,40,39,38
45,50,43,48
43,44,42,43
42,42,42,42
41,40,38,38
41,41,41,41
49,54,53,49
51,53,51,55
44,48,44,46
42,42,42,41
40,39,39,39
42,42,41,43
52,47,44,46
44,62,43,46
44,43,43,44
56,49,47,48
48,50,49,55
46,45,44,45
47,48,45,46
56,51,49,53
58,64,57,64
54,51,51,54
50,53,51,62
49,48,47,47
50,54,52,53
53,55,52,64
48,47,47,46
48,48,47,46
49,49,50,50
49,48,47,46
48,48,44,45
46,46,45,45
46,44,44,45
46,45,44,45
46,45,46,45
45,44,44,43
47,55,45,50
52,44,45,48
44,44,43,43
44,44,43,44
44,44,42,43
44,43,42,43
44,44,43,44
45,45,43,47
44,42,42,43
42,42,41,41
45,48,44,45
43,42,42,43
42,43,41,42
43,40,42,42
43,42,41,42
41,41,40,41
42,42,41,41
40,40,40,39
41,41,40,41
40,40,40,40
42,41,40,42
43,43,41,44
42,42,41,42
41,40,40,39
41,40,40,40
41,40,39,38
40,42,39,39
40,39,40,39
38,39,39,39
40,40,40,38
39,39,38,37
39,39,39,38
40,40,39,38
39,40,39,37
38,38,39,37
38,38,38,37
38,39,38,37
37,37,39,38
39,38,37,37
39,37,37,38
38,37,38,37
38,38,38,37
43,39,39,39
39,39,38,38
40,38,38,37
41,43,41,42
39,38,39,37
39,39,39,39
38,38,37,37
39,39,37,36
39,38,38,37
38,39,37,37
38,38,39,37
39,37,37,36
38,37,37,37
37,37,37,36
39,38,37,35
40,39,39,39
39,38,38,42
38,38,37,37
49,50,44,47
42,40,41,42
40,39,39,37
41,42,41,43
39,39,40,37
40,39,40,39
