,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/15/2022 13:42:09,2.34375,0,0.793647766,0.78125,0.979661942,42,39,41,41,46,1310.40112,1310.40112,1310.40112,1310.40112,2.76124024,0.201579884,0.0149631286,0,100.800087
09/15/2022 13:42:10,0,0,0.7692337,2.28438377,0.763404369,42,41,41,41,46,1310.40149,1310.40149,1310.40149,1310.40149,3.56568146,0.432408333,0.0215261634,0,100.800117
09/15/2022 13:42:11,3.90625,4.6875,1.58770084,4.813504,3.74873877,41,39,41,39,45,1310.40173,1310.40173,1310.40173,1310.40173,3.91604114,0.803368,0.0210903734,0,100.800125
09/15/2022 13:42:12,0.793647766,0,1.538825,1.538825,0.967824459,40,39,40,41,45,1310.40161,1310.40161,1310.40161,1310.40161,3.982881,0.371161252,0.0187758878,0,100.800125
09/15/2022 13:42:13,3.06526423,2.3317337,2.3317337,2.3317337,2.51511335,40,40,40,40,46,1310.40125,1411.20142,1310.40125,1411.20142,2.81194448,0.2897007,0.01478308,0,100.8001
09/15/2022 13:42:14,0.78125,0,0.793647766,5.409038,1.745981,40,39,40,40,45,1310.40137,1310.40137,1310.40137,1310.40137,2.77830386,0.207149342,0.0125751542,0,100.80011
09/15/2022 13:42:15,2.3317337,2.31971145,3.835225,3.08893919,2.89390683,40,40,39,39,44,1310.40149,1310.40149,1310.40149,1310.40149,3.33521581,0.323305577,0.014172134,0,100.80011
09/15/2022 13:42:16,0.7692337,0,0.7692337,4.615384,1.53846741,40,39,41,39,44,1310.40173,1310.40173,1310.40173,1310.40173,2.92044377,0.200863272,0.0146380551,0,100.800133
09/15/2022 13:42:17,3.076923,2.30768919,2.34375,5.384612,3.27824354,40,39,40,38,44,1310.40125,1310.40125,1310.40125,1310.40125,2.87999678,0.2897295,0.0220536813,0,100.800095
