USER;ID; %CPU ;%MEM;VSZ; RSS TTY;STAT START; TIME;  COMMAND
root; 2;0.0;0.0;0; 0 ?;S;nov01; 0:00 [kthreadd]
root; 3;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [rcu_gp]
root; 4;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [rcu_par_gp]
root; 5;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [slub_flushwq]
root; 6;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [netns]
root; 8;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [kworker/0:0H-kblockd]
root;10;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [mm_percpu_wq]
root;12;0.0;0.0;0; 0 ?;I;nov01; 0:00;\_ [rcu_tasks_kthread]
root;13;0.0;0.0;0; 0 ?;I;nov01; 0:00;\_ [rcu_tasks_rude_kthread]
root;14;0.0;0.0;0; 0 ?;I;nov01; 0:00;\_ [rcu_tasks_trace_kthread]
root;15;0.0;0.0;0; 0 ?;S;nov01; 0:03;\_ [ksoftirqd/0]
root;16;0.0;0.0;0; 0 ?;R;nov01; 0:05;\_ [rcu_preempt]
root;17;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [rcub/0]
root;18;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [migration/0]
root;19;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [idle_inject/0]
root;21;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [cpuhp/0]
root;22;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [cpuhp/1]
root;23;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [idle_inject/1]
root;24;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [migration/1]
root;25;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [ksoftirqd/1]
root;27;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [kworker/1:0H-events_highpri]
root;28;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [cpuhp/2]
root;29;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [idle_inject/2]
root;30;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [migration/2]
root;31;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [ksoftirqd/2]
root;33;0.0;0.0;0; 0 ?;I<; nov01; 0:00;\_ [kworker/2:0H-kblockd]
root;34;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [cpuhp/3]
root;35;0.0;0.0;0; 0 ?;S;nov01; 0:00;\_ [idle_inject/3]
