cpu;ram;disco;temp
1398.9;1.5;3.2;45.0
839.5;1.5;3.2;46.0
799.8;1.5;3.2;46.0
792.3;1.5;3.2;46.0
992.1;1.5;3.2;46.0
899.2;1.5;3.2;46.0
790.4;1.5;3.2;46.0
794.4;1.5;3.2;46.0
1322.1;1.6;3.2;46.0
983.0;1.6;3.2;44.0
1149.2;1.6;3.2;44.0
845.5;1.6;3.2;44.0
799.5;1.6;3.2;44.0
724.2;1.6;3.2;44.0
966.1;1.6;3.2;44.0
789.9;1.6;3.2;44.0
806.5;1.6;3.2;44.0
899.2;1.6;3.2;43.0
810.7;1.6;3.2;43.0
783.8;1.6;3.2;43.0
922.1;1.6;3.2;43.0
918.1;1.6;3.2;43.0
899.3;1.6;3.2;43.0
816.2;1.6;3.2;43.0
801.7;1.6;3.2;43.0
899.3;1.6;3.2;43.0
780.5;1.6;3.2;43.0
805.2;1.6;3.2;43.0
792.9;1.5;3.2;43.0
899.3;1.5;3.2;43.0
899.3;1.5;3.2;43.0
789.2;1.5;3.2;43.0
899.2;1.5;3.2;43.0
815.2;1.5;3.2;43.0
803.3;1.5;3.2;43.0
905.9;1.5;3.2;43.0
890.0;1.5;3.2;42.0
946.6;1.5;3.2;42.0
787.2;1.5;3.2;42.0
897.9;1.5;3.2;42.0
1622.7;1.5;3.2;42.0
1142.1;1.6;3.2;42.0
1321.8;1.6;3.2;42.0
850.7;1.6;3.2;42.0
815.9;1.6;3.2;42.0
810.3;1.6;3.2;42.0
811.5;1.6;3.2;42.0
799.4;1.6;3.2;42.0
802.8;1.6;3.2;42.0
1016.1;1.6;3.2;42.0
899.3;1.5;3.2;42.0
899.4;1.5;3.2;42.0
790.7;1.5;3.2;42.0
1026.7;1.5;3.2;42.0
803.1;1.5;3.2;42.0
899.2;1.5;3.2;42.0
792.7;1.5;3.2;42.0
796.7;1.5;3.2;42.0
1396.6;1.5;3.2;42.0
1424.3;1.5;3.2;42.0
893.0;1.5;3.2;42.0
1099.7;1.5;3.2;42.0
1134.3;1.6;3.2;44.0
1120.5;1.6;3.2;44.0
1657.6;1.6;3.2;44.0
816.9;1.6;3.2;44.0
1445.0;1.6;3.2;44.0
997.4;1.6;3.2;44.0
1769.2;1.6;3.2;44.0
1102.8;1.6;3.2;44.0
818.6;1.6;3.2;43.0
1361.5;1.6;3.2;43.0
1895.4;1.6;3.2;43.0
1129.3;1.6;3.2;43.0
950.5;1.6;3.2;43.0
1226.0;1.6;3.2;43.0
927.1;1.6;3.2;43.0
925.7;1.6;3.2;43.0
899.3;1.6;3.2;43.0
1106.7;1.6;3.2;43.0
724.2;1.6;3.2;43.0
699.2;1.6;3.2;43.0
971.4;1.6;3.2;43.0
1099.0;1.6;3.2;43.0
973.8;1.6;3.2;43.0
824.2;1.6;3.2;43.0
825.6;1.6;3.2;43.0
1109.9;1.6;3.2;43.0
1455.0;1.6;3.2;43.0
1150.8;1.6;3.2;43.0
1019.8;1.6;3.2;43.0
1004.4;1.6;3.2;43.0
1030.6;1.6;3.2;43.0
1062.0;1.6;3.2;43.0
1214.4;1.6;3.2;44.0
1269.1;1.6;3.2;44.0
1346.0;1.6;3.2;44.0
1385.4;1.6;3.2;44.0
1274.1;1.6;3.2;44.0
1448.5;1.6;3.2;44.0
1212.1;1.6;3.2;44.0
941.3;1.6;3.2;45.0
1895.4;1.6;3.2;45.0
1895.4;1.6;3.2;45.0
1897.7;1.6;3.2;45.0
1622.5;1.6;3.2;45.0
743.9;1.6;3.2;45.0
817.8;1.6;3.2;45.0
829.5;1.6;3.2;45.0
808.1;1.6;3.2;43.0
806.0;1.6;3.2;43.0
1357.8;1.6;3.2;43.0
1173.3;1.6;3.2;43.0
1396.6;1.6;3.2;43.0
1836.5;1.6;3.2;43.0
1848.0;1.6;3.2;43.0
1082.3;1.6;3.2;43.0
884.9;1.6;3.2;43.0
1363.3;1.6;3.2;45.0
1759.0;1.6;3.2;45.0
1578.0;1.6;3.2;45.0
1210.3;1.6;3.2;45.0
1895.4;1.6;3.2;45.0
950.4;1.6;3.2;45.0
967.6;1.6;3.2;45.0
841.5;1.6;3.2;45.0
1758.1;1.6;3.2;45.0
1895.4;1.6;3.2;45.0
889.0;1.6;3.2;45.0
1097.3;1.6;3.2;45.0
1041.5;1.6;3.2;45.0
950.5;1.6;3.2;45.0
894.7;1.6;3.2;45.0
975.8;1.6;3.2;45.0
1023.9;1.6;3.2;45.0
1639.4;1.6;3.2;45.0
1492.3;1.6;3.2;45.0
909.7;1.6;3.2;45.0
